YearStart,YearEnd,LocationDesc,Topic,Question,DataValueUnit,DataValue
2016,2016,Washington,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,75.3
2016,2016,Utah,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,25.7
2015,2015,Maryland,Asthma,Asthma mortality rate,"cases per 1,000,000",
2012,2012,North Dakota,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,65.5
2017,2017,Colorado,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,65.3
2017,2017,Florida,Chronic Kidney Disease,Mortality with end-stage renal disease,Number,8731
2012,2016,West Virginia,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",57.8
2015,2015,Oregon,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",12.34
2016,2016,Alaska,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,
2014,2014,Montana,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,8.0
2013,2013,Arizona,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,14.7
2016,2016,Alabama,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",14.28
2013,2013,South Carolina,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,30.6
2016,2016,Idaho,Cardiovascular Disease,Mortality from diseases of the heart,Number,
2018,2018,Maryland,Tobacco,Quit attempts in the past year among current smokers,%,
2018,2018,Missouri,Alcohol,Heavy drinking among women aged 18-44 years,%,
2017,2017,Mississippi,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",97.6
2015,2015,Rhode Island,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,63.8
2012,2012,Kentucky,Tobacco,Quit attempts in the past year among current smokers,%,59.6
2015,2015,Wisconsin,Asthma,Asthma prevalence among women aged 18-44 years,%,
2016,2016,Illinois,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,33.5
2017,2017,New Hampshire,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",
2016,2016,Puerto Rico,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,25.7
2014,2014,Rhode Island,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,28.5
2011,2011,Wisconsin,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,30.3
2012,2012,North Dakota,Chronic Kidney Disease,Mortality with end-stage renal disease,,777
2013,2013,Ohio,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,40.7
2017,2017,North Carolina,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,Number,5102
2018,2018,Nebraska,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
2016,2016,New Hampshire,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",235.8
2013,2013,Puerto Rico,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,%,61
2010,2014,Vermont,Cancer,"Cancer of the lung and bronchus, incidence",,
2013,2013,South Dakota,Diabetes,Hospitalization with diabetes as a listed diagnosis,"cases per 10,000",176.96
2015,2015,Virgin Islands,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,
2011,2011,Guam,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,%,35.9
2016,2016,New Hampshire,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",65.14
2015,2015,Indiana,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",
2012,2012,Wyoming,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",149.6
2012,2012,Missouri,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,
2008,2012,Nevada,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",
2015,2015,West Virginia,Cardiovascular Disease,Hospitalization for acute myocardial infarction,"cases per 10,000",27.31
2016,2016,Colorado,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,%,58.0
2015,2015,Iowa,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,,1379
2008,2012,New York,Cancer,"Cancer of the colon and rectum (colorectal), mortality",,288
2011,2011,Ohio,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,54.0
2009,2013,North Dakota,Cancer,"Cancer of the colon and rectum (colorectal), mortality","per 100,000",
2013,2013,Ohio,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",
2011,2011,New Mexico,Overarching Conditions,Poverty,%,
2014,2014,Alaska,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,
2011,2011,Hawaii,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,
2013,2013,Tennessee,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,51.7
2017,2017,California,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,23.8
2013,2013,Connecticut,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
2016,2016,Kansas,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,41.6
2011,2011,Montana,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),"cases per 100,000",37.9
2017,2017,Minnesota,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,21.2
2011,2011,United States,"Nutrition, Physical Activity, and Weight Status",Live births occurring at Baby Friendly Facilities,%,4.5
2016,2016,New York,Asthma,Asthma mortality rate,"cases per 1,000,000",
2013,2013,Washington,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,
2015,2015,Oregon,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",53.5
2012,2012,District of Columbia,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",365.6
2015,2015,Delaware,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,53.9
2012,2012,Virginia,Overarching Conditions,Premature mortality among adults aged 45-64 years,,3295
2017,2017,Arkansas,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,80.1
2013,2013,Oklahoma,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",160.9
2015,2015,California,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,
2014,2014,Idaho,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,13.0
2010,2014,Florida,Cancer,"Invasive cancer of the cervix, incidence","per 100,000",4.6
2017,2017,Kansas,Asthma,Current asthma prevalence among adults aged >= 18 years,%,6.4
2011,2011,Minnesota,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,31.7
2013,2013,Pennsylvania,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,49.1
2016,2016,Maine,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,66.7
2011,2011,Maine,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,13.4
2011,2011,West Virginia,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,63.7
2011,2011,Georgia,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,%,71.0
2012,2012,Montana,Cardiovascular Disease,Mortality from heart failure,,
2012,2012,New York,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,12.4
2013,2013,Washington,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,29.3
2011,2015,Kansas,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence","per 100,000",7.2
2011,2011,Maryland,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,
2015,2015,Arkansas,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",29.55
2012,2012,Delaware,Disability,Disability among adults aged >= 65 years,%,30.7
2016,2016,California,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,82.1
2016,2016,Massachusetts,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,68.5
2013,2013,Kentucky,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,4.6
2011,2011,Montana,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,
2015,2015,Texas,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",3.79
2011,2015,Oregon,Cancer,"Cancer of the prostate, mortality",,9
2017,2017,Vermont,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,
2011,2011,Kentucky,Asthma,Current asthma prevalence among adults aged >= 18 years,%,
2011,2011,Puerto Rico,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,
2014,2014,Arizona,Alcohol,Chronic liver disease mortality,"cases per 100,000",14.3
2011,2011,Arizona,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,60.4
2011,2015,Alabama,Cancer,"Invasive cancer (all sites combined), mortality","per 100,000",213.3
2009,2013,Minnesota,Cancer,"Cancer of the oral cavity and pharynx, mortality","per 100,000",2.6
2015,2015,Arizona,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,
2010,2014,Ohio,Cancer,"Cancer of the female breast, mortality",,1775
2013,2013,North Dakota,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",
2011,2015,West Virginia,Cancer,"Invasive cancer of the cervix, incidence","per 100,000",
2013,2013,South Dakota,Arthritis,Activity limitation due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,%,43.5
2015,2015,Wyoming,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,%,69.3
2009,2013,Iowa,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",62.6
2009,2013,Ohio,Cancer,"Cancer of the lung and bronchus, incidence",,49
2013,2013,North Dakota,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,9.2
2017,2017,Indiana,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",15.32
2014,2014,South Dakota,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,%,44.2
2014,2014,New Mexico,Chronic Kidney Disease,Incidence of treated end-stage renal disease attributed to diabetes,"cases per 1,000,000",173.4
2018,2018,Maine,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,37.6
2012,2012,Missouri,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,28.3
2010,2010,Alabama,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",59.7
2014,2014,Alaska,Cardiovascular Disease,Hospitalization for acute myocardial infarction,,
2017,2017,Wyoming,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,50.5
2010,2010,California,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,,74918
2013,2013,Connecticut,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,%,
2012,2012,West Virginia,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,35.1
2016,2016,South Dakota,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,
2015,2015,Texas,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,26.8
2016,2016,North Carolina,Tobacco,Current cigarette smoking among women aged 18-44 years,%,
2012,2016,North Carolina,Cancer,"Melanoma, mortality","per 100,000",2
2010,2014,South Carolina,Cancer,"Cancer of the prostate, mortality",,286
2015,2015,Vermont,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",558.1
2015,2015,Oklahoma,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,Number,1354
2008,2012,South Carolina,Cancer,"Cancer of the colon and rectum (colorectal), mortality","per 100,000",
2016,2016,New Hampshire,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,13.9
2011,2011,South Dakota,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,
2013,2013,Tennessee,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,76.1
2017,2017,New Mexico,Tobacco,Current cigarette smoking among youth,%,
2010,2010,Iowa,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",
2014,2014,Arkansas,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,39.3
2015,2015,Kentucky,Disability,Disability among adults aged >= 65 years,%,40.7
2013,2013,Pennsylvania,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",278.8
2012,2016,District of Columbia,Cancer,"Cancer of the colon and rectum (colorectal), mortality","per 100,000",7.4
2012,2012,Massachusetts,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,15.3
2011,2011,Georgia,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,1728
2015,2015,Idaho,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,
2011,2011,Louisiana,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,68.6
2013,2013,Guam,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,2.4
2018,2018,Virgin Islands,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,
2017,2017,South Dakota,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,
2013,2013,Virgin Islands,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,
2014,2014,Massachusetts,Older Adults,Prevalence of 2 or more chronic conditions among Medicare-enrolled persons aged >= 65 years,%,69.7
2012,2012,Arizona,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,58.5
2018,2018,Wyoming,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,
2017,2017,Rhode Island,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,%,38.6
2010,2010,Georgia,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,,125
2012,2012,Massachusetts,Overarching Conditions,High school completion among women aged 18-44 years,%,93.1
2013,2013,Texas,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,961
2015,2015,Idaho,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,
2013,2013,Idaho,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,%,46.3
2016,2016,Louisiana,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,32.7
2015,2015,South Dakota,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",
2014,2014,Delaware,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,75.5
2013,2013,Alaska,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,
2016,2016,New Hampshire,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,15.1
2018,2018,California,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,57.5
2015,2015,Michigan,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",25.08
2014,2014,Florida,Overarching Conditions,Poverty,%,15.4
2015,2015,Oklahoma,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,4.3
2011,2011,South Carolina,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,70.0
2016,2016,Minnesota,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,
2010,2014,Illinois,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",79.4
2010,2010,Maine,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",87.72
2014,2014,Nevada,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",173.3
2010,2010,South Dakota,Cardiovascular Disease,Mortality from diseases of the heart,,797
2013,2013,Minnesota,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,70.9
2014,2014,Arizona,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,80.5
2015,2015,Louisiana,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,,
2015,2015,Minnesota,Asthma,Current asthma prevalence among adults aged >= 18 years,%,7.4
2014,2014,West Virginia,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",21.94
2009,2013,Oklahoma,Cancer,"Invasive cancer (all sites combined), incidence","per 100,000",463.7
2012,2012,Oregon,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,67.2
2015,2015,South Dakota,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,77.1
2015,2015,California,Diabetes,Amputation of a lower extremity attributable to diabetes,,
2011,2011,Texas,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,19.2
2014,2014,Louisiana,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",
2011,2011,New Hampshire,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,
2015,2015,Arkansas,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,
2011,2011,New Jersey,Overarching Conditions,Self-rated health status among women aged 18-44 years,%,
2015,2015,Kentucky,"Nutrition, Physical Activity, and Weight Status",Mean maternity practices in infant nutrition care (mPINC) score,Number,73
2017,2017,Illinois,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,29.0
2016,2016,Missouri,Older Adults,Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services,%,49.2
2017,2017,Washington,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,%,55.0
2013,2013,Idaho,Tobacco,Current cigarette smoking among youth,%,12.2
2018,2018,New Hampshire,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,32.6
2017,2017,Idaho,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,
2011,2011,Arkansas,Disability,Disability among adults aged >= 65 years,%,52.9
2017,2017,Connecticut,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,%,
2016,2016,Oklahoma,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,76.4
2015,2015,New York,Asthma,Asthma mortality rate,"cases per 1,000,000",29.0
2015,2015,Indiana,Alcohol,Chronic liver disease mortality,"cases per 100,000",
2014,2014,Virginia,Asthma,Emergency department visit rate for asthma,"cases per 10,000",
2018,2018,Vermont,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,43.8
2017,2017,Maryland,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,Number,838
2016,2016,New Mexico,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,3.3
2016,2016,Massachusetts,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,
2011,2011,Rhode Island,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
2017,2017,District of Columbia,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",259.7
2011,2011,Kentucky,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",
2014,2014,South Carolina,Alcohol,Heavy drinking among adults aged >= 18 years,%,6.0
2010,2010,Pennsylvania,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",1.0
2015,2015,New Hampshire,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,%,78.6
2017,2017,Virginia,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,83.1
2011,2015,Texas,Cancer,"Invasive cancer of the cervix, incidence",,4
2012,2012,South Dakota,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,
2012,2012,Texas,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,2.9
2015,2015,West Virginia,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,,
2015,2015,New Hampshire,Cardiovascular Disease,Mortality from heart failure,"cases per 100,000",
2018,2018,Pennsylvania,Arthritis,Arthritis among adults aged >= 18 years,%,30.9
2008,2012,Louisiana,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",,12
2012,2012,Michigan,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,
2008,2012,Louisiana,Cancer,"Invasive cancer (all sites combined), incidence",,16325
2013,2013,Illinois,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of fruit consumption among adults aged >= 18 years,Number,1.2
2013,2013,Alabama,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,%,
2016,2016,Washington,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,50.7
2017,2017,Florida,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,
2016,2016,Puerto Rico,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,33.0
2011,2015,Tennessee,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",95.2
2016,2016,Virginia,Older Adults,Proportion of older adults aged 50-64 years who are up to date on a core set of clinical preventive services,%,
2013,2013,Maine,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,%,33.6
2018,2018,Vermont,Asthma,Asthma prevalence among women aged 18-44 years,%,
2018,2018,Massachusetts,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,
2016,2016,New York,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,9.7
2012,2012,North Dakota,"Nutrition, Physical Activity, and Weight Status",Secondary schools that allow community-sponsored use of physical activity facilities by youth outside of normal school hours,%,54.1
2017,2017,Wisconsin,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,33.6
2008,2012,Minnesota,Cancer,"Cancer of the colon and rectum (colorectal), mortality","per 100,000",15.9
2013,2013,Florida,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,53.9
2014,2014,New Hampshire,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,%,49.1
